"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","30JNVC0OR9JF1UZT2UJ0XV5C8ZBHQE","A2W8TJXW68442D","Submitted","Wed Nov 28 10:27:09 PST 2018","Wed Nov 28 10:36:16 PST 2018","Sat Dec 01 10:36:16 PST 2018","","","","547","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","36H9ULYP62TE1B4ACEBRX9HDEP6JFR","A3K6DL4PN98CBN","Submitted","Wed Nov 28 10:26:54 PST 2018","Wed Nov 28 10:37:15 PST 2018","Sat Dec 01 10:37:15 PST 2018","","","","621","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","320DUZ38G7LKFB05NYH9FUHPF46JGQ","A3J5KTBHZI60H","Submitted","Wed Nov 28 10:27:09 PST 2018","Wed Nov 28 10:37:27 PST 2018","Sat Dec 01 10:37:27 PST 2018","","","","618","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","3LPW2N6LKT1VDUMFI12WIZZB6BQU5F","A1CUIN1FSZCM50","Submitted","Wed Nov 28 10:26:58 PST 2018","Wed Nov 28 10:37:42 PST 2018","Sat Dec 01 10:37:42 PST 2018","","","","644","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","3EJPLAJKEMF8IXG3T7B9RXSQ4OGZ6P","A89R5XGMHOTJE","Submitted","Wed Nov 28 10:27:09 PST 2018","Wed Nov 28 10:46:03 PST 2018","Sat Dec 01 10:46:03 PST 2018","","","","1134","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","3KIBXJ1WD5T3I8NLT2UTLIQ4LFXOKH","AHOTKNMJFS8TR","Submitted","Wed Nov 28 10:26:50 PST 2018","Wed Nov 28 10:47:52 PST 2018","Sat Dec 01 10:47:52 PST 2018","","","","1262","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","31N2WW6R9RP3GX2L9TJ4H20OISKF3B","A3LL096CAY5WHB","Submitted","Wed Nov 28 10:27:10 PST 2018","Wed Nov 28 10:49:43 PST 2018","Sat Dec 01 10:49:43 PST 2018","","","","1353","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","32Z9ZLUT1LJCGIMDNHRW8QACTYTHO6","AYQH26R4KXW2K","Submitted","Wed Nov 28 10:37:06 PST 2018","Wed Nov 28 10:50:46 PST 2018","Sat Dec 01 10:50:46 PST 2018","","","","820","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","31HQ4X3T3S9T06XWLJN3KNDK745LSE","A22955PPOJ264W","Submitted","Wed Nov 28 10:27:07 PST 2018","Wed Nov 28 10:51:57 PST 2018","Sat Dec 01 10:51:57 PST 2018","","","","1490","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
"37G6BXQPLPK0V0AXMQ6SN8DE2FVQEI","3ISUSNUB1ZE6F895AUWBA1K7P0SK2E","Answer questions about error bars","Look at bar charts with errors bars and answer related question","survey, demographics, graphs","$1.00","Wed Nov 28 10:26:44 PST 2018","25","BatchId:3452500;OriginalHitTemplateId:920937340;","3600","259200","Sat Dec 01 10:26:44 PST 2018","","","3HYA4D452RIEVF625T5ZYSVWCEKF20","A2FF64MZ7SLJ96","Submitted","Wed Nov 28 10:27:08 PST 2018","Wed Nov 28 10:57:57 PST 2018","Sat Dec 01 10:57:57 PST 2018","","","","1849","0% (0/0)","0% (0/0)","0% (0/0)","MTURKUSF"
