,worker_id,question,response,answer,correct,confidence,likely
0,A19LKLAPLXL9B1,1,0,1,0,6,6
1,A19LKLAPLXL9B1,2,0,0,1,5,5
2,A19LKLAPLXL9B1,3,1,1,1,6,5
3,A19LKLAPLXL9B1,4,0,0,1,5,5
4,A19LKLAPLXL9B1,5,1,1,1,6,6
5,A19LKLAPLXL9B1,6,1,0,0,6,5
6,A19LKLAPLXL9B1,7,1,1,1,6,5
7,A19LKLAPLXL9B1,8,0,0,1,2,2
8,A19LKLAPLXL9B1,9,1,1,1,6,6
9,A19LKLAPLXL9B1,10,0,0,1,2,2
10,A19LKLAPLXL9B1,11,1,1,1,7,5
11,A19LKLAPLXL9B1,12,0,0,1,3,3
12,A19LKLAPLXL9B1,13,1,1,1,4,5
13,A19LKLAPLXL9B1,14,0,0,1,2,2
14,A19LKLAPLXL9B1,15,1,1,1,5,4
15,A19LKLAPLXL9B1,16,0,0,1,3,3
16,A19LKLAPLXL9B1,17,1,1,1,5,5
17,A19LKLAPLXL9B1,18,0,0,1,5,6
18,A19LKLAPLXL9B1,19,1,1,1,5,5
19,A19LKLAPLXL9B1,20,0,0,1,2,3
20,A19LKLAPLXL9B1,21,1,1,1,6,5
21,A19LKLAPLXL9B1,22,0,0,1,2,3
22,A19LKLAPLXL9B1,23,0,1,0,6,5
23,A19LKLAPLXL9B1,24,0,0,1,2,2
24,A19LKLAPLXL9B1,25,0,1,0,2,2
25,A19LKLAPLXL9B1,26,0,0,1,1,1
26,A19LKLAPLXL9B1,27,1,1,1,5,4
27,A19LKLAPLXL9B1,28,0,0,1,5,2
28,A19LKLAPLXL9B1,29,1,1,1,5,5
29,A19LKLAPLXL9B1,30,0,0,1,2,2
30,A19LKLAPLXL9B1,31,0,1,0,4,2
31,A19LKLAPLXL9B1,32,0,0,1,5,2
32,A19LKLAPLXL9B1,33,0,1,0,3,3
33,A19LKLAPLXL9B1,34,0,0,1,3,3
34,A19LKLAPLXL9B1,35,1,1,1,6,5
35,A19LKLAPLXL9B1,36,0,0,1,2,2
36,A2RCYLKY072XXO,1,0,1,0,5,3
37,A2RCYLKY072XXO,2,1,0,0,5,4
38,A2RCYLKY072XXO,3,0,1,0,6,2
39,A2RCYLKY072XXO,4,1,0,0,5,3
40,A2RCYLKY072XXO,5,0,1,0,6,1
41,A2RCYLKY072XXO,6,1,0,0,6,2
42,A2RCYLKY072XXO,7,0,1,0,4,4
43,A2RCYLKY072XXO,8,1,0,0,4,4
44,A2RCYLKY072XXO,9,0,1,0,5,2
45,A2RCYLKY072XXO,10,1,0,0,6,3
46,A2RCYLKY072XXO,11,0,1,0,6,2
47,A2RCYLKY072XXO,12,1,0,0,6,3
48,A2RCYLKY072XXO,13,0,1,0,4,4
49,A2RCYLKY072XXO,14,1,0,0,4,4
50,A2RCYLKY072XXO,15,0,1,0,5,3
51,A2RCYLKY072XXO,16,1,0,0,5,3
52,A2RCYLKY072XXO,17,0,1,0,5,3
53,A2RCYLKY072XXO,18,1,0,0,5,2
54,A2RCYLKY072XXO,19,1,1,1,4,4
55,A2RCYLKY072XXO,20,1,0,0,4,4
56,A2RCYLKY072XXO,21,0,1,0,5,3
57,A2RCYLKY072XXO,22,1,0,0,5,3
58,A2RCYLKY072XXO,23,0,1,0,6,2
59,A2RCYLKY072XXO,24,1,0,0,6,2
60,A2RCYLKY072XXO,25,1,1,1,4,4
61,A2RCYLKY072XXO,26,1,0,0,5,3
62,A2RCYLKY072XXO,27,0,1,0,4,4
63,A2RCYLKY072XXO,28,1,0,0,5,3
64,A2RCYLKY072XXO,29,0,1,0,5,3
65,A2RCYLKY072XXO,30,1,0,0,6,3
66,A2RCYLKY072XXO,31,1,1,1,4,4
67,A2RCYLKY072XXO,32,1,0,0,5,3
68,A2RCYLKY072XXO,33,0,1,0,5,3
69,A2RCYLKY072XXO,34,1,0,0,5,3
70,A2RCYLKY072XXO,35,0,1,0,6,3
71,A2RCYLKY072XXO,36,1,0,0,6,2
72,A4KXK34AMY5D1,1,0,1,0,6,6
73,A4KXK34AMY5D1,2,1,0,0,5,5
74,A4KXK34AMY5D1,3,0,1,0,2,5
75,A4KXK34AMY5D1,4,1,0,0,6,5
